Date,Team,ELO,Opponent,Opp ELO,Delta,Win %,Tie %,Loss %,GF,GA,Result,+/- ELO,ELO Post Game
09/21/25,Beer Dragons,944,Frozen Assets,1266,-322,12.2,2.6,85.1,1,4,Loss,-16,928
09/21/25,Frozen Assets,1266,Beer Dragons,944,322,85.1,2.6,12.2,4,1,Win,16,1282
09/21/25,Khaos,1364,Orange Crush,1273,91,60.2,5.2,34.6,7,2,Win,60,1424
09/21/25,Orange Crush,1273,Khaos,1364,-91,34.6,5.2,60.2,2,7,Loss,-60,1213
09/21/25,Spicy Kittens,1457,Tropical Punchers,1086,371,88.4,2.1,9.5,2,1,Win,9,1466
09/21/25,Tropical Punchers,1086,Spicy Kittens,1457,-371,9.5,2.1,88.4,1,2,Loss,-9,1077
09/21/25,Mighty Moose,1133,Ice Breakers,1000,133,65.8,4.9,29.3,5,0,Win,51,1184
09/21/25,Ice Breakers,1000,Mighty Moose,1133,-133,29.3,4.9,65.8,0,5,Loss,-51,949
09/21/25,Gremlins Hockey,1485,Purple Reign,1404,81,58.8,5.3,35.9,5,1,Win,58,1543
09/21/25,Purple Reign,1404,Gremlins Hockey,1485,-81,35.9,5.3,58.8,1,5,Loss,-58,1346
09/21/25,Fighting Clams,1652,Blackbirds,1574,78,58.4,5.3,36.3,2,3,Loss,-44,1608
09/21/25,Blackbirds,1574,Fighting Clams,1652,-78,36.3,5.3,58.4,3,2,Win,44,1618
09/21/25,Orcas,1745,Blackouts,1636,109,62.6,5.1,32.3,4,4,Tie,-9,1736
09/21/25,Blackouts,1636,Orcas,1745,-109,32.3,5.1,62.6,4,4,Tie,9,1645
09/21/25,Rainier Reindeers HC-9,1537,SEA Cucumbers,1548,-11,45.6,5.6,48.8,0,3,Loss,-60,1477
09/21/25,SEA Cucumbers,1548,Rainier Reindeers HC-9,1537,11,48.8,5.6,45.6,3,0,Win,60,1608
09/21/25,BLU Bombers,1948,Los Tigres,1838,110,62.8,5.1,32.1,2,8,Loss,-100,1848
09/21/25,Los Tigres,1838,BLU Bombers,1948,-110,32.1,5.1,62.8,8,2,Win,100,1938
09/21/25,Seattle Slapshots,1651,Rainiers,1661,-10,45.8,5.6,48.6,3,2,Win,41,1692
09/21/25,Rainiers,1661,Seattle Slapshots,1651,10,48.6,5.6,45.8,2,3,Loss,-41,1620
09/21/25,Scrooge McPuck,1686,Glow Sticks,1596,90,60.0,5.2,34.7,4,3,Win,30,1716
09/21/25,Glow Sticks,1596,Scrooge McPuck,1686,-90,34.7,5.2,60.0,3,4,Loss,-30,1566
09/21/25,Toe Dragons,1843,Sockeyes Div 8,1825,18,49.8,5.6,44.6,1,2,Loss,-37,1806
09/21/25,Sockeyes Div 8,1825,Toe Dragons,1843,-18,44.6,5.6,49.8,2,1,Win,37,1862
09/21/25,LKI,1722,Chucklepucks,2207,-485,5.2,1.2,93.6,6,5,Win,71,1793
09/21/25,Chucklepucks,2207,LKI,1722,485,93.6,1.2,5.2,5,6,Loss,-71,2136
09/21/25,Spittin'' Llamas,1846,Quacken,1840,6,48.1,5.6,46.3,2,5,Loss,-63,1783
09/21/25,Quacken,1840,Spittin'' Llamas,1846,-6,46.3,5.6,48.1,5,2,Win,63,1903
09/21/25,Doom Clouds,1000,Golden Mules,1000,0,47.2,5.6,47.2,4,3,Win,40,1040
09/21/25,Golden Mules,1000,Doom Clouds,1000,0,47.2,5.6,47.2,3,4,Loss,-40,960
09/21/25,Fluffy Bunnies,1857,Iced Awesome,2084,-227,19.4,3.8,76.8,3,1,Win,91,1948
09/21/25,Iced Awesome,2084,Fluffy Bunnies,1857,227,76.8,3.8,19.4,1,3,Loss,-91,1993
09/21/25,Seattle Dogs,1932,Hampton West Hockey Club,2192,-260,16.6,3.3,80.0,0,3,Loss,-22,1910
09/21/25,Hampton West Hockey Club,2192,Seattle Dogs,1932,260,80.0,3.3,16.6,3,0,Win,22,2214
09/21/25,Bandits,2086,Seals Lower,2245,-159,26.3,4.6,69.1,3,9,Loss,-42,2044
09/21/25,Seals Lower,2245,Bandits,2086,159,69.1,4.6,26.3,9,3,Win,42,2287
09/21/25,Trash Pandas 7 Landis,2187,Blades,2519,-332,11.6,2.5,85.9,3,3,Tie,29,2216
09/21/25,Blades,2519,Trash Pandas 7 Landis,2187,332,85.9,2.5,11.6,3,3,Tie,-29,2490
09/21/25,Roughnecks Mobile Infantry,2031,Not Sure 7A,2283,-252,17.3,3.4,79.3,1,6,Loss,-26,2005
09/21/25,Not Sure 7A,2283,Roughnecks Mobile Infantry,2031,252,79.3,3.4,17.3,6,1,Win,26,2309
09/21/25,Seal Team Sticks,1680,Yacht Flippers,1507,173,70.8,4.4,24.8,6,0,Win,47,1727
09/21/25,Yacht Flippers,1507,Seal Team Sticks,1680,-173,24.8,4.4,70.8,0,6,Loss,-47,1460
09/21/25,Hungry Hatchlings,1882,Pond Pigeons,1752,130,65.4,4.9,29.7,2,10,Loss,-117,1765
09/21/25,Pond Pigeons,1752,Hungry Hatchlings,1882,-130,29.7,4.9,65.4,10,2,Win,117,1869
09/21/25,Birrds,2196,Mudflaps,2230,-34,42.3,5.5,52.1,0,7,Loss,-71,2125
09/21/25,Mudflaps,2230,Birrds,2196,34,52.1,5.5,42.3,7,0,Win,71,2301
09/21/25,Cascadians HC,2264,Trash Pandas Garbage Legacy,2301,-37,41.9,5.5,52.5,1,5,Loss,-59,2205
09/21/25,Trash Pandas Garbage Legacy,2301,Cascadians HC,2264,37,52.5,5.5,41.9,5,1,Win,59,2360
09/21/25,Wranglers,2400,Monarchs 6C,2434,-34,42.3,5.5,52.1,5,1,Win,81,2481
09/21/25,Monarchs 6C,2434,Wranglers,2400,34,52.1,5.5,42.3,1,5,Loss,-81,2353
09/21/25,Purple Puck Eaters,880,Red Zeppelin,1000,-120,30.9,5.0,64.1,11,4,Win,117,997
09/21/25,Red Zeppelin,1000,Purple Puck Eaters,880,120,64.1,5.0,30.9,4,11,Loss,-117,883
09/21/25,Mighty Boosh,2371,Seattle Freeze,2376,-5,46.5,5.6,47.9,8,3,Win,80,2451
09/21/25,Seattle Freeze,2376,Mighty Boosh,2371,5,47.9,5.6,46.5,3,8,Loss,-80,2296
09/21/25,Stingers,2650,Icemen,2564,86,59.5,5.3,35.2,8,2,Win,65,2715
09/21/25,Icemen,2564,Stingers,2650,-86,35.2,5.3,59.5,2,8,Loss,-65,2499
09/21/25,Barrel Aged Brewzers,2400,Greenhorns,2666,-266,16.1,3.3,80.6,3,3,Tie,25,2425
09/21/25,Greenhorns,2666,Barrel Aged Brewzers,2400,266,80.6,3.3,16.1,3,3,Tie,-25,2641
09/21/25,Hackers,2579,Raiders,2356,223,76.4,3.8,19.8,5,7,Loss,-86,2493
09/21/25,Raiders,2356,Hackers,2579,-223,19.8,3.8,76.4,7,5,Win,86,2442
09/21/25,Real Bacon,2405,Flying Monkeys,2385,20,50.1,5.6,44.3,4,5,Loss,-38,2367
09/21/25,Flying Monkeys,2385,Real Bacon,2405,-20,44.3,5.6,50.1,5,4,Win,38,2423
09/21/25,Coyotes,2469,Rainier Reindeer HC-6B,2744,-275,15.5,3.2,81.4,3,5,Loss,-17,2452
09/21/25,Rainier Reindeer HC-6B,2744,Coyotes,2469,275,81.4,3.2,15.5,5,3,Win,17,2761
09/22/25,Monarchs 5D,3123,Gamblers,2850,273,81.2,3.2,15.6,3,3,Tie,-23,3100
09/22/25,Gamblers,2850,Monarchs 5D,3123,-273,15.6,3.2,81.2,3,3,Tie,23,2873
09/22/25,Dirty Couch Hockey Club,2701,Alpuckas,2798,-97,33.8,5.2,61.0,2,2,Tie,12,2713
09/22/25,Alpuckas,2798,Dirty Couch Hockey Club,2701,97,61.0,5.2,33.8,2,2,Tie,-12,2786
09/22/25,Brewzers OGB,2650,Fossils,2851,-201,21.9,4.1,74.0,2,1,Win,59,2709
09/22/25,Fossils,2851,Brewzers OGB,2650,201,74.0,4.1,21.9,1,2,Loss,-59,2792
09/22/25,Honey Badgers,2518,Squids,2481,37,52.5,5.5,41.9,2,9,Loss,-89,2429
09/22/25,Squids,2481,Honey Badgers,2518,-37,41.9,5.5,52.5,9,2,Win,89,2570
09/22/25,Highlanders,2992,Piranhas,2710,282,82.0,3.1,14.9,0,1,Loss,-61,2931
09/22/25,Piranhas,2710,Highlanders,2992,-282,14.9,3.1,82.0,1,0,Win,61,2771
09/22/25,Jokres,2778,Dumb Pucks,2620,158,69.0,4.6,26.4,0,2,Loss,-78,2700
09/22/25,Dumb Pucks,2620,Jokres,2778,-158,26.4,4.6,69.0,2,0,Win,78,2698
09/22/25,Dumpster Fire,3050,Renegades,3099,-49,40.2,5.5,54.3,4,4,Tie,7,3057
09/22/25,Renegades,3099,Dumpster Fire,3050,49,54.3,5.5,40.2,4,4,Tie,-7,3092
09/22/25,Top Cheddar,2850,Lumberjacks,2976,-126,30.2,4.9,64.9,7,3,Win,98,2948
09/22/25,Lumberjacks,2976,Top Cheddar,2850,126,64.9,4.9,30.2,3,7,Loss,-98,2878
09/22/25,Seals 5D,2989,Midnight Twist,2956,33,52.0,5.5,42.5,5,2,Win,63,3052
09/22/25,Midnight Twist,2956,Seals 5D,2989,-33,42.5,5.5,52.0,2,5,Loss,-63,2893
09/22/25,Seagulls,3080,Reapers,2727,353,87.3,2.3,10.4,2,4,Loss,-98,2982
09/22/25,Reapers,2727,Seagulls,3080,-353,10.4,2.3,87.3,4,2,Win,98,2825
09/22/25,BSOD,2944,Not Sure 5A,3256,-312,12.9,2.7,84.4,2,7,Loss,-19,2925
09/22/25,Not Sure 5A,3256,BSOD,2944,312,84.4,2.7,12.9,7,2,Win,19,3275
09/22/25,WKUP-5,2896,Yetis,3077,-181,23.9,4.3,71.8,5,3,Win,86,2982
09/22/25,Yetis,3077,WKUP-5,2896,181,71.8,4.3,23.9,3,5,Loss,-86,2991
09/23/25,PussyCats,2803,Black Katz,2598,205,74.5,4.0,21.5,6,2,Win,36,2839
09/23/25,Black Katz,2598,PussyCats,2803,-205,21.5,4.0,74.5,2,6,Loss,-36,2562
09/23/25,The Mighty Geoducks,4123,Pheasants,3945,178,71.4,4.4,24.2,6,3,Win,38,4161
09/23/25,Pheasants,3945,The Mighty Geoducks,4123,-178,24.2,4.4,71.4,3,6,Loss,-38,3907
09/23/25,Ice-O-Topes,2741,Bullets,2942,-201,21.9,4.1,74.0,4,2,Win,88,2829
09/23/25,Bullets,2942,Ice-O-Topes,2741,201,74.0,4.1,21.9,2,4,Loss,-88,2854
09/23/25,Puckbuddies,3592,Breakers,3706,-114,31.6,5.0,63.3,2,3,Loss,-24,3568
09/23/25,Breakers,3706,Puckbuddies,3592,114,63.3,5.0,31.6,3,2,Win,24,3730
09/23/25,DevilFish,3232,Dead Rabbits,3270,-38,41.8,5.5,52.7,3,0,Win,76,3308
09/23/25,Dead Rabbits,3270,DevilFish,3232,38,52.7,5.5,41.8,0,3,Loss,-76,3194
09/23/25,Coconut Corgis,3454,Greasy Weasels,3321,133,65.8,4.9,29.3,2,0,Win,38,3492
09/23/25,Greasy Weasels,3321,Coconut Corgis,3454,-133,29.3,4.9,65.8,0,2,Loss,-38,3283
09/24/25,Trash Pandas 5B,2896,Roughnecks - Game Theory,3084,-188,23.2,4.2,72.6,5,6,Loss,-17,2879
09/24/25,Roughnecks - Game Theory,3084,Trash Pandas 5B,2896,188,72.6,4.2,23.2,6,5,Win,17,3101
09/24/25,Kraken Up,3290,Night Owls,3588,-298,13.8,2.9,83.3,2,4,Loss,-16,3274
09/24/25,Night Owls,3588,Kraken Up,3290,298,83.3,2.9,13.8,4,2,Win,16,3604
09/24/25,Moose Knuckle,3229,Wolves,3357,-128,29.9,4.9,65.2,3,4,Loss,-22,3207
09/24/25,Wolves,3357,Moose Knuckle,3229,128,65.2,4.9,29.9,4,3,Win,22,3379
09/24/25,Goal Diggers,3431,Maple Bars,3537,-106,32.6,5.1,62.2,4,0,Win,95,3526
09/24/25,Maple Bars,3537,Goal Diggers,3431,106,62.2,5.1,32.6,0,4,Loss,-95,3442
09/24/25,Buck Wild,3382,Schilling Cider,3249,133,65.8,4.9,29.3,2,3,Loss,-49,3333
09/24/25,Schilling Cider,3249,Buck Wild,3382,-133,29.3,4.9,65.8,3,2,Win,49,3298
09/24/25,Booze Hounds,3780,Shockers,3494,286,82.3,3.0,14.6,3,3,Tie,-24,3756
09/24/25,Shockers,3494,Booze Hounds,3780,-286,14.6,3.0,82.3,3,3,Tie,24,3518
09/24/25,Hooligans,2962,Edible Arrangements,3151,-189,23.1,4.2,72.7,3,2,Win,58,3020
09/24/25,Edible Arrangements,3151,Hooligans,2962,189,72.7,4.2,23.1,2,3,Loss,-58,3093
09/24/25,Rhinos,3880,Koronis Motors,4201,-321,12.3,2.6,85.1,3,5,Loss,-14,3866
09/24/25,Koronis Motors,4201,Rhinos,3880,321,85.1,2.6,12.3,5,3,Win,14,4215
09/24/25,MMHC,3687,Sabercats,3562,125,64.8,4.9,30.3,4,4,Tie,-11,3676
09/24/25,Sabercats,3562,MMHC,3687,-125,30.3,4.9,64.8,4,4,Tie,11,3573
09/24/25,Puget Sound Pigeons,3979,The Herd,3948,31,51.7,5.6,42.8,5,1,Win,68,4047
09/24/25,The Herd,3948,Puget Sound Pigeons,3979,-31,42.8,5.6,51.7,1,5,Loss,-68,3880
09/25/25,LLUA,3323,Skeletons,3408,-85,35.4,5.3,59.4,5,4,Win,48,3371
09/25/25,Skeletons,3408,LLUA,3323,85,59.4,5.3,35.4,4,5,Loss,-48,3360
09/25/25,Mighty Mallards,3457,Chinooks,3592,-135,29.1,4.8,66.1,0,5,Loss,-44,3413
09/25/25,Chinooks,3592,Mighty Mallards,3457,135,66.1,4.8,29.1,5,0,Win,44,3636
09/25/25,Skateful Dead,3597,Steelhead,3515,82,58.9,5.3,35.8,3,5,Loss,-66,3531
09/25/25,Steelhead,3515,Skateful Dead,3597,-82,35.8,5.3,58.9,5,3,Win,66,3581
09/25/25,The Brigade,4025,Pull Tab Bandits,4059,-34,42.3,5.5,52.1,7,4,Win,76,4101
09/25/25,Pull Tab Bandits,4059,The Brigade,4025,34,52.1,5.5,42.3,4,7,Loss,-76,3983
09/25/25,Sasquatch,3799,Bombers,3745,54,55.0,5.5,39.6,2,3,Loss,-41,3758
09/25/25,Bombers,3745,Sasquatch,3799,-54,39.6,5.5,55.0,3,2,Win,41,3786
09/25/25,Mustangs,4185,Mavericks,4174,11,48.8,5.6,45.6,1,2,Loss,-37,4148
09/25/25,Mavericks,4174,Mustangs,4185,-11,45.6,5.6,48.8,2,1,Win,37,4211
09/25/25,Falcons,4676,ALTP,4380,296,83.1,2.9,13.9,2,7,Loss,-125,4551
09/25/25,ALTP,4380,Falcons,4676,-296,13.9,2.9,83.1,7,2,Win,125,4505
09/25/25,Bar Down Transportation,3850,Eagles,3964,-114,31.6,5.0,63.3,3,6,Loss,-42,3808
09/25/25,Eagles,3964,Bar Down Transportation,3850,114,63.3,5.0,31.6,6,3,Win,42,4006
09/25/25,NW Stars,4103,Northwest Crabs,4194,-91,34.6,5.2,60.2,8,0,Win,117,4220
09/25/25,Northwest Crabs,4194,NW Stars,4103,91,60.2,5.2,34.6,0,8,Loss,-117,4077
09/25/25,Chiefs,4057,Red Dog,3940,117,63.7,5.0,31.3,7,5,Win,41,4098
09/25/25,Red Dog,3940,Chiefs,4057,-117,31.3,5.0,63.7,5,7,Loss,-41,3899
09/25/25,Seattle Supernova,4250,ESB,4164,86,59.5,5.3,35.2,3,3,Tie,-7,4243
09/25/25,ESB,4164,Seattle Supernova,4250,-86,35.2,5.3,59.5,3,3,Tie,7,4171
09/28/25,Rainier Reindeers HC-9,1477,Fighting Clams,1608,-131,29.5,4.9,65.6,0,4,Loss,-42,1436
09/28/25,Fighting Clams,1608,Rainier Reindeers HC-9,1477,131,65.6,4.9,29.5,4,0,Win,42,1650
09/28/25,Yacht Flippers,1460,Blackbirds,1618,-157,26.5,4.6,68.9,0,4,Loss,-37,1423
09/28/25,Blackbirds,1618,Yacht Flippers,1460,157,68.9,4.6,26.5,4,0,Win,37,1655
09/28/25,Rainiers,1620,SEA Cucumbers,1608,12,49.0,5.6,45.4,3,4,Loss,-37,1584
09/28/25,SEA Cucumbers,1608,Rainiers,1620,-12,45.4,5.6,49.0,4,3,Win,37,1645
09/28/25,Seal Team Sticks,1727,Seattle Slapshots,1692,35,52.2,5.5,42.2,6,1,Win,72,1798
09/28/25,Seattle Slapshots,1692,Seal Team Sticks,1727,-35,42.2,5.5,52.2,1,6,Loss,-72,1620
09/28/25,Sockeyes Div 8,1862,Glow Sticks,1566,296,83.2,2.9,13.9,1,4,Loss,-109,1753
09/28/25,Glow Sticks,1566,Sockeyes Div 8,1862,-296,13.9,2.9,83.2,4,1,Win,109,1675
09/28/25,Doom Clouds,1040,Red Zeppelin,883,156,68.8,4.6,26.6,2,7,Loss,-103,936
09/28/25,Red Zeppelin,883,Doom Clouds,1040,-156,26.6,4.6,68.8,7,2,Win,103,987
09/28/25,BLU Bombers,1848,Blackouts,1645,202,74.2,4.1,21.7,7,2,Win,39,1887
09/28/25,Blackouts,1645,BLU Bombers,1848,-202,21.7,4.1,74.2,2,7,Loss,-39,1607
09/28/25,Toe Dragons,1806,Scrooge McPuck,1716,90,60.0,5.2,34.8,3,4,Loss,-45,1761
09/28/25,Scrooge McPuck,1716,Toe Dragons,1806,-90,34.8,5.2,60.0,4,3,Win,45,1761
09/28/25,Khaos,1424,Gremlins Hockey,1543,-119,31.0,5.0,64.0,4,4,Tie,14,1438
09/28/25,Gremlins Hockey,1543,Khaos,1424,119,64.0,5.0,31.0,4,4,Tie,-14,1529
09/28/25,Ice Breakers,949,Golden Mules,960,-12,45.5,5.6,48.9,10,0,Win,107,1056
09/28/25,Golden Mules,960,Ice Breakers,949,12,48.9,5.6,45.5,0,10,Loss,-107,853
09/28/25,Purple Reign,1346,Orange Crush,1213,133,65.8,4.9,29.3,1,5,Loss,-93,1254
09/28/25,Orange Crush,1213,Purple Reign,1346,-133,29.3,4.9,65.8,5,1,Win,93,1306
09/28/25,Raiders,2442,Greenhorns,2641,-199,22.1,4.1,73.8,7,1,Win,124,2566
09/28/25,Greenhorns,2641,Raiders,2442,199,73.8,4.1,22.1,1,7,Loss,-124,2516
09/28/25,Coyotes,2452,Hackers,2493,-41,41.3,5.5,53.2,1,2,Loss,-31,2421
09/28/25,Hackers,2493,Coyotes,2452,41,53.2,5.5,41.3,2,1,Win,31,2524
09/28/25,Honey Badgers,2429,Mighty Boosh,2451,-22,44.1,5.6,50.4,3,6,Loss,-58,2372
09/28/25,Mighty Boosh,2451,Honey Badgers,2429,22,50.4,5.6,44.1,6,3,Win,58,2509
09/28/25,Tropical Punchers,1077,Mighty Moose,1184,-107,32.5,5.1,62.4,2,5,Loss,-43,1035
09/28/25,Mighty Moose,1184,Tropical Punchers,1077,107,62.4,5.1,32.5,5,2,Win,43,1227
09/28/25,Wranglers,2481,Barrel Aged Brewzers,2425,56,55.2,5.5,39.3,6,5,Win,34,2515
09/28/25,Barrel Aged Brewzers,2425,Wranglers,2481,-56,39.3,5.5,55.2,5,6,Loss,-34,2392
09/28/25,Beer Dragons,928,Purple Puck Eaters,997,-69,37.6,5.4,57.1,4,5,Loss,-28,900
09/28/25,Purple Puck Eaters,997,Beer Dragons,928,69,57.1,5.4,37.6,5,4,Win,28,1025
09/28/25,Seattle Dogs,1910,LKI,1793,117,63.7,5.0,31.3,2,5,Loss,-84,1827
09/28/25,LKI,1793,Seattle Dogs,1910,-117,31.3,5.0,63.7,5,2,Win,84,1877
09/28/25,Hampton West Hockey Club,2214,Bandits,2044,170,70.4,4.5,25.1,4,2,Win,33,2247
09/28/25,Bandits,2044,Hampton West Hockey Club,2214,-170,25.1,4.5,70.4,2,4,Loss,-33,2011
09/28/25,Real Bacon,2367,Rainier Reindeer HC-6B,2761,-394,8.4,1.9,89.7,0,8,Loss,-15,2352
09/28/25,Rainier Reindeer HC-6B,2761,Real Bacon,2367,394,89.7,1.9,8.4,8,0,Win,15,2776
09/28/25,Seals Lower,2287,Roughnecks Mobile Infantry,2005,282,82.0,3.1,14.9,4,4,Tie,-24,2263
09/28/25,Roughnecks Mobile Infantry,2005,Seals Lower,2287,-282,14.9,3.1,82.0,4,4,Tie,24,2029
09/28/25,Frozen Assets,1282,Spicy Kittens,1466,-184,23.6,4.3,72.1,2,2,Tie,20,1302
09/28/25,Spicy Kittens,1466,Frozen Assets,1282,184,72.1,4.3,23.6,2,2,Tie,-20,1446
09/28/25,Chucklepucks,2136,Fluffy Bunnies,1948,188,72.6,4.2,23.2,4,0,Win,39,2174
09/28/25,Fluffy Bunnies,1948,Chucklepucks,2136,-188,23.2,4.2,72.6,0,4,Loss,-39,1909
09/28/25,Squids,2570,Flying Monkeys,2423,147,67.6,4.7,27.7,4,2,Win,36,2606
09/28/25,Flying Monkeys,2423,Squids,2570,-147,27.7,4.7,67.6,2,4,Loss,-36,2386
09/28/25,Hungry Hatchlings,1765,Iced Awesome,1993,-228,19.3,3.7,76.9,1,9,Loss,-34,1731
09/28/25,Iced Awesome,1993,Hungry Hatchlings,1765,228,76.9,3.7,19.3,9,1,Win,34,2028
09/28/25,Quacken,1903,Los Tigres,1938,-35,42.2,5.5,52.2,5,4,Win,43,1946
09/28/25,Los Tigres,1938,Quacken,1903,35,52.2,5.5,42.2,4,5,Loss,-43,1895
09/28/25,Spittin'' Llamas,1783,Orcas,1736,47,54.0,5.5,40.5,2,3,Loss,-41,1742
09/28/25,Orcas,1736,Spittin'' Llamas,1783,-47,40.5,5.5,54.0,3,2,Win,41,1776
09/28/25,Trash Pandas Garbage Legacy,2360,Not Sure 7A,2309,51,54.6,5.5,40.0,6,5,Win,34,2394
09/28/25,Not Sure 7A,2309,Trash Pandas Garbage Legacy,2360,-51,40.0,5.5,54.6,5,6,Loss,-34,2275
09/28/25,Monarchs 6C,2353,Blades,2490,-137,28.8,4.8,66.4,4,1,Win,93,2446
09/28/25,Blades,2490,Monarchs 6C,2353,137,66.4,4.8,28.8,1,4,Loss,-93,2397
09/28/25,Pond Pigeons,1869,Trash Pandas 7 Landis,2216,-347,10.8,2.4,86.9,2,5,Loss,-14,1854
09/28/25,Trash Pandas 7 Landis,2216,Pond Pigeons,1869,347,86.9,2.4,10.8,5,2,Win,14,2230
09/28/25,Mudflaps,2301,Seattle Freeze,2296,6,48.0,5.6,46.4,4,2,Win,58,2360
09/28/25,Seattle Freeze,2296,Mudflaps,2301,-6,46.4,5.6,48.0,2,4,Loss,-58,2237
09/28/25,Cascadians HC,2205,Birrds,2125,81,58.7,5.3,36.0,11,7,Win,58,2263
09/28/25,Birrds,2125,Cascadians HC,2205,-81,36.0,5.3,58.7,7,11,Loss,-58,2066
09/29/25,Reapers,2825,Top Cheddar,2948,-123,30.5,5.0,64.5,7,5,Win,78,2903
09/29/25,Top Cheddar,2948,Reapers,2825,123,64.5,5.0,30.5,5,7,Loss,-78,2870
09/29/25,Roughnecks - Game Theory,3101,Ice-O-Topes,2829,273,81.2,3.2,15.6,0,2,Loss,-91,3010
09/29/25,Ice-O-Topes,2829,Roughnecks - Game Theory,3101,-273,15.6,3.2,81.2,2,0,Win,91,2920
09/29/25,Highlanders,2931,Gamblers,2873,57,55.4,5.5,39.1,4,6,Loss,-62,2868
09/29/25,Gamblers,2873,Highlanders,2931,-57,39.1,5.5,55.4,6,4,Win,62,2936
09/29/25,WKUP-5,2982,Bullets,2854,127,65.1,4.9,30.0,2,3,Loss,-49,2933
09/29/25,Bullets,2854,WKUP-5,2982,-127,30.0,4.9,65.1,3,2,Win,49,2903
09/29/25,Dirty Couch Hockey Club,2713,Midnight Twist,2893,-180,24.0,4.3,71.6,0,5,Loss,-36,2677
09/29/25,Midnight Twist,2893,Dirty Couch Hockey Club,2713,180,71.6,4.3,24.0,5,0,Win,36,2929
09/29/25,Piranhas,2771,Monarchs 5D,3100,-328,11.9,2.6,85.6,3,2,Win,66,2838
09/29/25,Monarchs 5D,3100,Piranhas,2771,328,85.6,2.6,11.9,2,3,Loss,-66,3033
09/29/25,Trash Pandas 5B,2879,Renegades,3092,-213,20.7,3.9,75.4,4,2,Win,89,2968
09/29/25,Renegades,3092,Trash Pandas 5B,2879,213,75.4,3.9,20.7,2,4,Loss,-89,3002
09/29/25,BSOD,2925,Hooligans,3020,-95,34.1,5.2,60.7,2,3,Loss,-26,2899
09/29/25,Hooligans,3020,BSOD,2925,95,60.7,5.2,34.1,3,2,Win,26,3045
09/29/25,Yetis,2991,Lumberjacks,2878,114,63.3,5.0,31.7,5,0,Win,55,3047
09/29/25,Lumberjacks,2878,Yetis,2991,-114,31.7,5.0,63.3,0,5,Loss,-55,2823
09/29/25,Not Sure 5A,3275,Edible Arrangements,3093,182,71.9,4.3,23.8,2,9,Loss,-121,3154
09/29/25,Edible Arrangements,3093,Not Sure 5A,3275,-182,23.8,4.3,71.9,9,2,Win,121,3215
09/29/25,Seagulls,2982,Dumpster Fire,3057,-75,36.6,5.3,58.0,5,4,Win,48,3029
09/29/25,Dumpster Fire,3057,Seagulls,2982,75,58.0,5.3,36.6,4,5,Loss,-48,3010
09/29/25,Fossils,2792,PussyCats,2839,-46,40.6,5.5,53.9,7,3,Win,84,2876
09/29/25,PussyCats,2839,Fossils,2792,46,53.9,5.5,40.6,3,7,Loss,-84,2755
09/29/25,Jokres,2700,Icemen,2499,201,74.0,4.1,21.9,8,2,Win,41,2742
09/29/25,Icemen,2499,Jokres,2700,-201,21.9,4.1,74.0,2,8,Loss,-41,2458
09/29/25,Alpuckas,2786,Stingers,2715,71,57.4,5.4,37.2,4,7,Loss,-75,2710
09/29/25,Stingers,2715,Alpuckas,2786,-71,37.2,5.4,57.4,7,4,Win,75,2790
09/29/25,Brewzers OGB,2709,Dumb Pucks,2698,11,48.8,5.6,45.6,8,1,Win,86,2795
09/29/25,Dumb Pucks,2698,Brewzers OGB,2709,-11,45.6,5.6,48.8,1,8,Loss,-86,2611
09/30/25,Coconut Corgis,3492,Night Owls,3604,-111,32.0,5.1,62.9,5,0,Win,102,3594
09/30/25,Night Owls,3604,Coconut Corgis,3492,111,62.9,5.1,32.0,0,5,Loss,-102,3502
09/30/25,Seals 5D,3052,Black Katz,2562,490,93.8,1.2,5.0,1,3,Loss,-106,2947
09/30/25,Black Katz,2562,Seals 5D,3052,-490,5.0,1.2,93.8,3,1,Win,106,2668
09/30/25,Greasy Weasels,3283,Kraken Up,3274,8,48.4,5.6,46.0,3,9,Loss,-77,3205
09/30/25,Kraken Up,3274,Greasy Weasels,3283,-8,46.0,5.6,48.4,9,3,Win,77,3352
09/30/25,Mighty Mallards,3413,Maple Bars,3442,-29,43.1,5.6,51.4,3,8,Loss,-65,3349
09/30/25,Maple Bars,3442,Mighty Mallards,3413,29,51.4,5.6,43.1,8,3,Win,65,3507
09/30/25,Wolves,3379,LLUA,3371,8,48.3,5.6,46.1,4,6,Loss,-54,3325
09/30/25,LLUA,3371,Wolves,3379,-8,46.1,5.6,48.3,6,4,Win,54,3426
09/30/25,Steelhead,3581,Schilling Cider,3298,283,82.1,3.1,14.9,3,3,Tie,-24,3557
09/30/25,Schilling Cider,3298,Steelhead,3581,-283,14.9,3.1,82.1,3,3,Tie,24,3322
09/30/25,Dead Rabbits,3194,Moose Knuckle,3207,-13,45.3,5.6,49.1,4,3,Win,41,3235
09/30/25,Moose Knuckle,3207,Dead Rabbits,3194,13,49.1,5.6,45.3,3,4,Loss,-41,3166
10/01/25,Sabercats,3573,Breakers,3730,-157,26.6,4.6,68.8,6,2,Win,103,3676
10/01/25,Breakers,3730,Sabercats,3573,157,68.8,4.6,26.6,2,6,Loss,-103,3626
