,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type,Game_ID,Away ELO Prior,Away EA,Away ELO Posterior,Away Delta,Home ELO Prior,Home EA,Home ELO Posterior,Home Delta
20,09/21/25,Seal Team Sticks,6,Yacht Flippers,0,Division 8B,Division 9A,REG,09/21/25_Seal Team Sticks_@_Yacht Flippers,1680,73.0,1727,47,1507,27.0,1460,-47
21,09/21/25,Hungry Hatchlings,2,Pond Pigeons,10,Division 8B,Division 7C,REG,09/21/25_Hungry Hatchlings_@_Pond Pigeons,1882,67.9,1765,-117,1752,32.1,1869,117
22,09/21/25,Birrds,0,Mudflaps,7,Division 7B,Division 6D,REG,09/21/25_Birrds_@_Mudflaps,2196,45.1,2125,-71,2230,54.9,2301,71
23,09/21/25,Cascadians HC,1,Trash Pandas Garbage Legacy,5,Division 7A,Division 6D,REG,09/21/25_Cascadians HC_@_Trash Pandas Garbage Legacy,2264,44.7,2205,-59,2301,55.3,2360,59
24,09/21/25,Wranglers,5,Monarchs 6C,1,Division 6D,Division 6C,REG,09/21/25_Wranglers_@_Monarchs 6C,2400,45.1,2481,81,2434,54.9,2353,-81
25,09/21/25,Purple Puck Eaters,11,Red Zeppelin,4,Division 9B,Division 10A,REG,09/21/25_Purple Puck Eaters_@_Red Zeppelin,880,33.4,997,117,1000,66.6,883,-117
26,09/21/25,Mighty Boosh,8,Seattle Freeze,3,Division 6B,Division 7A,REG,09/21/25_Mighty Boosh_@_Seattle Freeze,2371,49.3,2451,80,2376,50.7,2296,-80
27,09/21/25,Stingers,8,Icemen,2,Division 5C,Division 6B,REG,09/21/25_Stingers_@_Icemen,2650,62.1,2715,65,2564,37.9,2499,-65
28,09/21/25,Barrel Aged Brewzers,3,Greenhorns,3,Division 6D,Division 6C,REG,09/21/25_Barrel Aged Brewzers_@_Greenhorns,2400,17.8,2425,25,2666,82.2,2641,-25
29,09/21/25,Hackers,5,Raiders,7,Division 6C,Division 6D,REG,09/21/25_Hackers_@_Raiders,2579,78.3,2493,-86,2356,21.7,2442,86
